Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
64,1.88,2.37,2.74,2,1,1,2,2,3,3,3,3,2,2,1,1,1,3,2.6
65,2.28,2.52,2.37,1.86,2,1,1,2,3,2,3,3,1,2,1,2,1,1,2.6
66,2.72,2.76,2.38,2.18,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2.61
67,2.26,2.47,2.32,2.25,2,2,2,3,2,3,3,3,2,3,2,2,2,2,2.61
68,3.37,3.21,2.37,2.47,4,3,4,4,2,2,2,2,2,2,2,3,3,4,2.62
69,2.95,2.41,2.63,2.26,3,2,2,2,3,3,2,2,3,2,3,4,2,4,2.63
70,2.58,2.25,2.5,2.3,2,2,2,2,3,3,2,3,2,4,2,2,2,3,2.63
71,2.61,2.11,2.45,2.58,3,2,2,2,2,3,2,2,3,3,3,2,2,4,2.63
72,2.39,3.16,2.42,2.32,2,2,3,3,3,2,3,2,4,3,1,4,1,2,2.63
73,2.28,2.79,2.47,2.23,2,1,1,3,4,3,2,2,2,2,1,2,2,1,2.65
74,2.68,2.1,2.5,2.53,1,3,1,2,2,3,2,2,3,3,3,2,2,2,2.65
75,2.84,2.24,2.53,2.21,2,2,2,2,3,3,2,2,3,2,2,3,3,3,2.65
76,2.44,2.21,3.06,2.29,1,2,1,2,3,4,3,2,2,3,2,2,1,4,2.66
77,2.78,2.68,2.28,2.57,2,3,1,2,2,3,3,3,2,3,1,2,3,2,2.66
78,2.78,2.42,2.72,2.32,2,2,1,2,2,3,3,2,3,3,2,2,1,3,2.67
79,2.68,2.53,2.37,2.42,2,3,2,2,3,2,3,2,2,1,3,3,2,2,2.68
80,3.06,2.81,2.58,2.18,2,2,2,2,3,3,3,2,2,3,3,2,2,2,2.68
81,2.79,2.11,2.16,2.21,3,2,2,2,2,2,2,2,3,1,3,2,3,3,2.68
82,2.42,2.37,2.65,2.58,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2.68
