Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
516,2.63,3.05,2.67,3,2,2,4,2,3,3,2,2,2,4,2,2,3,3,3.04
517,2.89,3,3,2.75,1,1,3,3,2,2,4,2,2,3,3,4,2,4,3.05
518,2.74,2.89,2.76,2.47,2,2,2,3,3,2,2,2,3,2,2,3,2,2,3.06
519,2.21,2.95,2.62,2.75,2,1,3,2,3,2,2,3,2,4,2,1,2,2,3.06
520,2.9,2.58,2.32,3,2,3,2,1,3,2,3,2,3,3,2,4,4,2,3.06
521,2.85,2.94,1.92,2.47,3,4,2,3,4,1,2,2,2,2,2,2,1,2,3.06
522,3.37,3.16,2.21,2.93,4,3,4,2,4,2,2,3,2,3,2,4,2,2,3.1
523,2.58,3.33,2.88,3.25,2,2,3,2,4,3,4,3,2,3,2,1,2,2,3.1
524,3.21,2.95,2.63,2.33,3,2,3,2,4,2,2,2,2,2,3,3,3,2,3.1
525,2.84,3.42,2.67,2.79,2,2,3,3,4,3,2,2,3,4,2,4,2,3,3.11
526,2.68,3.21,2.58,2.18,3,2,3,3,3,2,2,2,4,2,2,3,1,2,3.11
527,2.37,3.21,2.86,2.95,2,2,3,3,3,2,4,2,4,3,2,1,2,3,3.11
528,2.58,3.11,2.46,3.4,2,2,2,1,4,2,2,2,2,4,3,2,3,4,3.12
529,2.89,3.37,2.71,3.06,2,2,3,2,4,2,2,3,4,2,2,2,3,2,3.12
530,3.19,3,2.84,3.1,2,3,3,3,2,3,3,3,3,3,2,4,2,4,3.12
531,3.05,3,2.27,3.33,2,4,3,1,4,2,2,1,2,3,2,2,3,2,3.14
532,3.32,3.16,2.54,2.94,4,3,2,2,4,2,2,3,2,2,3,3,2,3,3.14
533,3.05,3.21,3,2.67,3,4,3,1,4,2,2,2,3,2,4,2,2,3,3.14
534,3.05,3.48,2.76,2.61,2,3,4,3,4,2,2,3,2,3,2,3,4,4,3.14
535,3.45,2.95,2.69,2.67,4,4,3,2,2,2,2,2,3,3,3,3,3,2,3.16
536,3.32,3.11,3,2.84,3,2,3,3,3,3,4,3,3,3,2,4,3,4,3.16
537,3.38,3.05,2.76,3.57,4,4,4,2,2,2,2,3,2,4,2,2,4,4,3.16
538,3.47,3.47,2.25,3.2,4,3,4,2,4,2,2,1,2,4,1,3,1,4,3.19
539,2.63,2.84,2.92,2.8,2,2,2,2,3,2,3,3,3,4,1,2,2,3,3.2
540,2.84,2.9,2.7,3.33,3,1,3,2,3,2,3,1,4,3,2,2,4,2,3.2
541,2.95,3.04,2.76,3.32,2,2,2,2,3,3,3,3,2,3,2,2,3,4,3.21
542,3.15,2.71,2.77,2.74,2,4,2,3,2,3,3,2,2,3,2,3,2,3,3.23
543,3.05,3.21,2.54,2.72,2,4,2,3,4,2,2,3,2,3,3,1,1,3,3.24
544,2.37,3.11,3,2.61,2,1,2,3,3,2,3,3,2,4,4,1,2,2,3.24
545,2.75,3.5,2.38,3.2,3,4,4,3,3,2,4,2,3,4,1,2,2,2,3.25
546,3.14,2.92,2.96,3.26,2,2,2,3,2,3,4,4,2,4,2,4,2,2,3.25
547,2.63,3.47,2.9,3,3,2,4,4,4,3,2,2,3,4,3,1,1,3,3.26
548,3.05,3.53,2.8,3.36,3,4,3,4,3,3,2,2,3,4,2,2,4,4,3.27
549,2.84,2.95,2.83,3.24,3,1,3,4,2,2,3,3,3,4,1,2,3,4,3.27
550,3.38,3.16,3.2,3,4,3,2,3,3,3,4,3,2,4,4,4,3,3,3.28
551,2.58,3.32,3.08,3.4,3,1,3,3,4,3,4,3,3,4,2,2,2,3,3.29
552,3.11,3.68,3.38,3.29,2,4,3,4,4,4,2,4,4,3,3,3,2,3,3.32
553,3,2.88,2.96,3.61,2,2,2,2,2,3,3,4,2,4,2,3,3,2,3.34
554,2.63,3.58,3.13,2.79,3,1,3,4,4,3,4,2,3,4,2,1,3,4,3.36
555,2.95,3.79,2.25,2.93,2,4,3,4,4,3,2,3,2,3,2,2,2,1,3.36
556,3.81,3.44,3.04,3,4,4,2,4,4,3,4,4,2,4,2,4,2,4,3.42
557,3.38,3.68,3.36,2.81,2,3,4,4,3,3,4,4,3,4,3,4,2,3,3.43
558,3.62,3.52,3.24,2.84,3,4,2,4,4,4,4,3,3,4,2,4,3,4,3.43
559,3.24,3.88,3.32,3.13,2,3,4,3,4,4,4,4,2,3,4,3,3,4,3.43
560,3.68,3.32,2.67,3.6,4,3,3,3,4,3,2,2,2,4,2,4,4,4,3.45
561,2.89,3.47,2.75,3.33,2,2,4,2,3,3,3,2,3,3,2,3,3,3,3.45
562,2.68,3.21,3.04,3.41,1,2,3,3,3,3,4,2,3,4,2,3,3,3,3.45
563,3.58,3.47,3.25,2.71,4,2,4,4,4,3,4,3,3,3,2,4,3,3,3.46
564,3.53,2.74,3.67,3.47,4,4,3,2,2,4,3,4,3,4,4,3,4,4,3.5
565,2.47,3.42,3.42,3.2,2,2,4,1,4,3,4,3,4,4,3,1,3,2,3.5
566,3.2,3.5,3.45,3.1,2,4,3,2,4,3,3,3,4,3,4,2,4,4,3.51
567,3.1,3.68,3.08,3.33,3,4,3,4,4,3,3,4,2,4,3,2,3,3,3.53
568,3.32,3.68,3.08,3.27,3,2,4,4,4,3,3,2,4,3,3,3,3,4,3.53
569,3.37,3.74,3.13,3.8,4,4,4,3,4,3,2,3,4,4,3,2,4,3,3.54
570,3.47,3.8,3,3.24,3,3,4,4,4,3,4,3,3,2,2,3,4,4,3.55
571,3.48,3.72,3.84,2.77,3,3,4,3,4,4,4,4,4,4,4,4,4,2,3.55
572,3.42,3.53,3,3.6,4,4,4,3,3,3,4,2,2,4,2,2,3,4,3.55
573,3.19,3.52,3.28,3.58,3,2,3,4,4,3,3,3,3,4,3,3,4,3,3.56
574,3.74,3.26,3.12,3.57,4,4,4,2,2,4,4,2,3,4,2,4,4,4,3.56
575,3.38,3.48,3.64,3.23,2,3,2,3,4,4,4,4,4,4,3,4,2,4,3.58
576,3.45,3.42,3.22,3.24,4,4,3,3,4,2,4,3,4,3,3,2,2,3,3.59
577,3.4,3.79,2.46,3.75,3,4,4,4,3,2,2,3,2,3,2,2,4,4,3.59
578,3.63,3.47,2.88,3.8,4,4,4,2,4,3,3,2,3,4,2,3,3,4,3.61
579,3.58,3.68,3.17,3.8,4,3,4,2,4,2,4,3,4,4,2,3,4,3,3.61
580,3.62,3.52,3.4,3.58,4,4,3,4,4,3,4,2,4,4,1,3,4,4,3.63
581,3.42,3.63,3.29,3.6,3,4,4,3,4,3,4,2,4,4,3,3,3,4,3.63
582,3.89,4,3.08,3.24,4,4,4,4,4,3,4,3,3,4,2,4,3,4,3.63
583,3.48,3.84,3.76,3.35,2,3,4,4,4,3,4,4,4,4,4,4,2,4,3.64
584,3.53,3.42,3.33,3.8,3,4,3,3,3,4,4,3,3,4,3,3,3,4,3.64
585,3.9,3.84,3.48,3.13,4,4,4,4,4,4,4,4,4,3,2,4,3,4,3.67
586,3.57,4,3.36,3.61,3,4,4,4,4,4,4,3,3,4,2,3,4,4,3.72
587,3.16,3.84,3.67,3.4,3,2,4,3,4,4,4,2,4,4,4,4,2,4,3.74
588,4,3.84,3.88,3.35,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3.79
589,3.38,3.68,4,3.84,2,3,3,4,4,3,4,4,4,4,4,4,4,4,3.82
590,3.74,3.58,3.75,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,3.83
591,3.74,4,3.71,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3.88
